id_categoria_raw,nome_categoria,tipo_categoria,codigo_contabil,ingestion_id,ingestion_ts,source_system,source_entity,row_seq,raw_row_hash
21,Seguros,DESPESA,2.7.01,c17371e6-309d-4559-90f7-1f60b4e6e2d2,2026-01-10T08:30:00.000Z,ERP_FINANCEIRO,categorias_contabeis,21,2c40c6671359bb07d7fd8f3a4b19fd6b3459cf223af9a7da2b4761263e90d529
22,Taxas Bancárias,DESPESA,2.7.02,c17371e6-309d-4559-90f7-1f60b4e6e2d2,2026-01-10T08:30:00.000Z,ERP_FINANCEIRO,categorias_contabeis,22,3e7f85acf455fd662683a11b1d24dc1f1bd047be3742eca494f5707f1135f0b8
23,Juros e Encargos,DESPESA,2.7.03,c17371e6-309d-4559-90f7-1f60b4e6e2d2,2026-01-10T08:30:00.000Z,ERP_FINANCEIRO,categorias_contabeis,23,ad93002a25824116ee2977ebc79da5c2739cfbefc919a0e464bbbf1f726fe085
24,Despesas Jurídicas,DESPESA,2.8.01,c17371e6-309d-4559-90f7-1f60b4e6e2d2,2026-01-10T08:30:00.000Z,ERP_FINANCEIRO,categorias_contabeis,24,47db409a4aca1ffe194e5a99e1614d62edf75d3ab53a0b90f47925c1b51a074b
25,Assessoria Contábil,DESPESA,2.8.02,c17371e6-309d-4559-90f7-1f60b4e6e2d2,2026-01-10T08:30:00.000Z,ERP_FINANCEIRO,categorias_contabeis,25,1f3d7c89edf1a9bb78ccbe3221d8f0281f55dff28f60ac3f686e4cf92419c03a
26,Certificados Digitais,DESPESA,2.8.03,c17371e6-309d-4559-90f7-1f60b4e6e2d2,2026-01-10T08:30:00.000Z,ERP_FINANCEIRO,categorias_contabeis,26,f472fa34e48a6b21f54edb846dd520d24693194567f3d9581beeae36307441c3
27,Software e Licenças,DESPESA,2.9.01,c17371e6-309d-4559-90f7-1f60b4e6e2d2,2026-01-10T08:30:00.000Z,ERP_FINANCEIRO,categorias_contabeis,27,17edb30028bf3be99c47b54b193c5a32bcb34b0932fe805899152650fdc62182
28,Manutenção de Equipamentos,DESPESA,2.9.02,c17371e6-309d-4559-90f7-1f60b4e6e2d2,2026-01-10T08:30:00.000Z,ERP_FINANCEIRO,categorias_contabeis,28,d22abf3061efbee3af410de81d8fa16ba6371b4b573c45edba3442f67ac688fc
29,Suporte Técnico,DESPESA,2.9.03,c17371e6-309d-4559-90f7-1f60b4e6e2d2,2026-01-10T08:30:00.000Z,ERP_FINANCEIRO,categorias_contabeis,29,614d6f30adbb2778f637e4f0863e4455f291331839b546ba22ae4bb978a948d2
30,Treinamento e Capacitação,DESPESA,2.9.04,c17371e6-309d-4559-90f7-1f60b4e6e2d2,2026-01-10T08:30:00.000Z,ERP_FINANCEIRO,categorias_contabeis,30,92b5e647199f63d6d2d2ee83a45411f1608b908fc3e7d08c646d4131d6194517
31,Receita de Aluguel,RECEITA,4.3.01,c17371e6-309d-4559-90f7-1f60b4e6e2d2,2026-01-10T08:30:00.000Z,ERP_FINANCEIRO,categorias_contabeis,31,fcbb845bce38e2e1171796bc169e0a66e4cdfbc4b23b716fa43659fc447a9654
32,Royalties,RECEITA,4.3.02,c17371e6-309d-4559-90f7-1f60b4e6e2d2,2026-01-10T08:30:00.000Z,ERP_FINANCEIRO,categorias_contabeis,32,012d9cec6581a8c92aad0d3421dd0f38042d7da976d33fbaf2c802f91f067ba8
33,Comissões Recebidas,RECEITA,4.4.01,c17371e6-309d-4559-90f7-1f60b4e6e2d2,2026-01-10T08:30:00.000Z,ERP_FINANCEIRO,categorias_contabeis,33,bcaed990a2aee796017157c3d2c82e01cf186496e8f824a3b945477791730039
34,Resultado de Equivalência,RECEITA,4.5.01,c17371e6-309d-4559-90f7-1f60b4e6e2d2,2026-01-10T08:30:00.000Z,ERP_FINANCEIRO,categorias_contabeis,34,eca4b4b9b044a3b84fe0fbc2d684666e622a5acb13fd8b673ad19ecb811a31e0
35,Venda de Ativo Imobilizado,RECEITA,4.6.01,c17371e6-309d-4559-90f7-1f60b4e6e2d2,2026-01-10T08:30:00.000Z,ERP_FINANCEIRO,categorias_contabeis,35,49bed2f5bd66503e903af46062f5d62db93f652839bfddac05db18d41fef47ce
36,Doações Recebidas,RECEITA,4.7.01,c17371e6-309d-4559-90f7-1f60b4e6e2d2,2026-01-10T08:30:00.000Z,ERP_FINANCEIRO,categorias_contabeis,36,3c388029925d681c8f09c9995d2b471eb758e373d20808bea306a6f5f28b410d
37,Receitas Eventuais,RECEITA,4.8.01,c17371e6-309d-4559-90f7-1f60b4e6e2d2,2026-01-10T08:30:00.000Z,ERP_FINANCEIRO,categorias_contabeis,37,0035a3316972db22be7e96463eb99252a5ff12cb10561776c73b343a72be1010
38,Descontos Concedidos,DESPESA,5.1.01,c17371e6-309d-4559-90f7-1f60b4e6e2d2,2026-01-10T08:30:00.000Z,ERP_FINANCEIRO,categorias_contabeis,38,0fe3fe4e01b4154bf65d73df93917c58dc5ae9e7914225d0839bdf3b782792d7
39,Devoluções de Vendas,DESPESA,5.1.02,c17371e6-309d-4559-90f7-1f60b4e6e2d2,2026-01-10T08:30:00.000Z,ERP_FINANCEIRO,categorias_contabeis,39,d7ae7763e4fe0e76b16e5f5c66cb478e19c0edef20b43ccda04d6291fe428d53
40,Impostos sobre Vendas,DESPESA,5.2.01,c17371e6-309d-4559-90f7-1f60b4e6e2d2,2026-01-10T08:30:00.000Z,ERP_FINANCEIRO,categorias_contabeis,40,e71ac63b3f518c42606ca21d3a6f54829e21da185072a5d8702084201b5b5b0f
